2021-12-19 21:51:53, INFO:MySwin:Epoch 1, Itrs 800/50000, decode.loss=1.981079 ;lr=0.000032
2021-12-19 21:51:59, INFO:MySwin:Epoch 1, Itrs 810/50000, decode.loss=1.834639 ;lr=0.000032
2021-12-19 21:52:04, INFO:MySwin:Epoch 1, Itrs 820/50000, decode.loss=1.391681 ;lr=0.000033
2021-12-19 21:52:09, INFO:MySwin:Epoch 1, Itrs 830/50000, decode.loss=1.480101 ;lr=0.000033
2021-12-19 21:52:15, INFO:MySwin:Epoch 1, Itrs 840/50000, decode.loss=1.321554 ;lr=0.000034
2021-12-19 21:52:20, INFO:MySwin:Epoch 1, Itrs 850/50000, decode.loss=1.790724 ;lr=0.000034
2021-12-19 21:52:26, INFO:MySwin:Epoch 1, Itrs 860/50000, decode.loss=2.064213 ;lr=0.000034
2021-12-19 21:52:31, INFO:MySwin:Epoch 1, Itrs 870/50000, decode.loss=1.213209 ;lr=0.000035
2021-12-19 21:52:36, INFO:MySwin:Epoch 1, Itrs 880/50000, decode.loss=1.737607 ;lr=0.000035
2021-12-19 21:52:42, INFO:MySwin:Epoch 1, Itrs 890/50000, decode.loss=1.377380 ;lr=0.000036
2021-12-19 21:52:47, INFO:MySwin:Epoch 1, Itrs 900/50000, decode.loss=1.351345 ;lr=0.000036
2021-12-19 21:52:53, INFO:MySwin:Epoch 1, Itrs 910/50000, decode.loss=1.947318 ;lr=0.000036
2021-12-19 21:52:58, INFO:MySwin:Epoch 2, Itrs 920/50000, decode.loss=1.763383 ;lr=0.000037
2021-12-19 21:53:03, INFO:MySwin:Epoch 2, Itrs 930/50000, decode.loss=1.720544 ;lr=0.000037
2021-12-19 21:53:09, INFO:MySwin:Epoch 2, Itrs 940/50000, decode.loss=1.359734 ;lr=0.000038
2021-12-19 21:53:14, INFO:MySwin:Epoch 2, Itrs 950/50000, decode.loss=1.409582 ;lr=0.000038
2021-12-19 21:53:20, INFO:MySwin:Epoch 2, Itrs 960/50000, decode.loss=1.687103 ;lr=0.000038
2021-12-19 21:53:25, INFO:MySwin:Epoch 2, Itrs 970/50000, decode.loss=1.948603 ;lr=0.000039
2021-12-19 21:53:32, INFO:MySwin:Epoch 2, Itrs 980/50000, decode.loss=1.821387 ;lr=0.000039
2021-12-19 21:53:37, INFO:MySwin:Epoch 2, Itrs 990/50000, decode.loss=1.494038 ;lr=0.000040
2021-12-19 21:53:42, INFO:MySwin:Epoch 2, Itrs 1000/50000, decode.loss=1.121693 ;lr=0.000040
2021-12-19 21:53:48, INFO:MySwin:Epoch 2, Itrs 1010/50000, decode.loss=2.329993 ;lr=0.000040
2021-12-19 21:53:53, INFO:MySwin:Epoch 2, Itrs 1020/50000, decode.loss=1.413953 ;lr=0.000041
2021-12-19 21:53:59, INFO:MySwin:Epoch 2, Itrs 1030/50000, decode.loss=2.004430 ;lr=0.000041
2021-12-19 21:54:04, INFO:MySwin:Epoch 2, Itrs 1040/50000, decode.loss=1.177490 ;lr=0.000042
2021-12-19 21:54:10, INFO:MySwin:Epoch 2, Itrs 1050/50000, decode.loss=1.259172 ;lr=0.000042
2021-12-19 21:54:16, INFO:MySwin:Epoch 2, Itrs 1060/50000, decode.loss=1.742128 ;lr=0.000042
2021-12-19 21:54:21, INFO:MySwin:Epoch 2, Itrs 1070/50000, decode.loss=1.400657 ;lr=0.000043
2021-12-19 21:54:26, INFO:MySwin:Epoch 2, Itrs 1080/50000, decode.loss=2.361864 ;lr=0.000043
2021-12-19 21:54:32, INFO:MySwin:Epoch 2, Itrs 1090/50000, decode.loss=1.305628 ;lr=0.000044
2021-12-19 21:54:37, INFO:MySwin:Epoch 2, Itrs 1100/50000, decode.loss=1.196381 ;lr=0.000044
2021-12-19 21:54:42, INFO:MySwin:Epoch 2, Itrs 1110/50000, decode.loss=1.605789 ;lr=0.000044
2021-12-19 21:54:48, INFO:MySwin:Epoch 2, Itrs 1120/50000, decode.loss=1.320985 ;lr=0.000045
2021-12-19 21:54:54, INFO:MySwin:Epoch 2, Itrs 1130/50000, decode.loss=1.458569 ;lr=0.000045
2021-12-19 21:54:59, INFO:MySwin:Epoch 2, Itrs 1140/50000, decode.loss=1.397461 ;lr=0.000046
2021-12-19 21:55:05, INFO:MySwin:Epoch 2, Itrs 1150/50000, decode.loss=1.534852 ;lr=0.000046
2021-12-19 21:55:10, INFO:MySwin:Epoch 2, Itrs 1160/50000, decode.loss=1.358921 ;lr=0.000046
2021-12-19 21:55:16, INFO:MySwin:Epoch 2, Itrs 1170/50000, decode.loss=1.948817 ;lr=0.000047
2021-12-19 21:55:21, INFO:MySwin:Epoch 2, Itrs 1180/50000, decode.loss=1.181308 ;lr=0.000047
2021-12-19 21:55:26, INFO:MySwin:Epoch 2, Itrs 1190/50000, decode.loss=1.811869 ;lr=0.000048
2021-12-19 21:55:32, INFO:MySwin:Epoch 2, Itrs 1200/50000, decode.loss=2.190721 ;lr=0.000048
2021-12-19 21:55:38, INFO:MySwin:Epoch 2, Itrs 1210/50000, decode.loss=1.648228 ;lr=0.000048
2021-12-19 21:55:43, INFO:MySwin:Epoch 2, Itrs 1220/50000, decode.loss=1.524483 ;lr=0.000049
2021-12-19 21:55:49, INFO:MySwin:Epoch 2, Itrs 1230/50000, decode.loss=1.449558 ;lr=0.000049
2021-12-19 21:55:54, INFO:MySwin:Epoch 2, Itrs 1240/50000, decode.loss=1.321074 ;lr=0.000050
2021-12-19 21:56:00, INFO:MySwin:Epoch 2, Itrs 1250/50000, decode.loss=1.642581 ;lr=0.000050
2021-12-19 21:56:06, INFO:MySwin:Epoch 2, Itrs 1260/50000, decode.loss=1.424915 ;lr=0.000050
2021-12-19 21:56:11, INFO:MySwin:Epoch 2, Itrs 1270/50000, decode.loss=1.005385 ;lr=0.000051
2021-12-19 21:56:17, INFO:MySwin:Epoch 2, Itrs 1280/50000, decode.loss=1.083478 ;lr=0.000051
2021-12-19 21:56:22, INFO:MySwin:Epoch 2, Itrs 1290/50000, decode.loss=1.358808 ;lr=0.000052
2021-12-19 21:56:27, INFO:MySwin:Epoch 2, Itrs 1300/50000, decode.loss=1.094890 ;lr=0.000052
2021-12-19 21:56:32, INFO:MySwin:Epoch 2, Itrs 1310/50000, decode.loss=1.300325 ;lr=0.000052
2021-12-19 21:56:38, INFO:MySwin:Epoch 2, Itrs 1320/50000, decode.loss=1.484426 ;lr=0.000053
2021-12-19 21:56:43, INFO:MySwin:Epoch 2, Itrs 1330/50000, decode.loss=2.019709 ;lr=0.000053
2021-12-19 21:56:48, INFO:MySwin:Epoch 2, Itrs 1340/50000, decode.loss=1.135593 ;lr=0.000054
2021-12-19 21:56:54, INFO:MySwin:Epoch 2, Itrs 1350/50000, decode.loss=2.115106 ;lr=0.000054
2021-12-19 21:56:59, INFO:MySwin:Epoch 2, Itrs 1360/50000, decode.loss=2.003031 ;lr=0.000054
2021-12-19 21:57:05, INFO:MySwin:Epoch 2, Itrs 1370/50000, decode.loss=1.496472 ;lr=0.000055
2021-12-19 21:57:10, INFO:MySwin:Epoch 2, Itrs 1380/50000, decode.loss=1.203879 ;lr=0.000055
2021-12-19 21:57:16, INFO:MySwin:Epoch 2, Itrs 1390/50000, decode.loss=1.509764 ;lr=0.000056
